Date: 	9/8/15																				
Start Time: 	9:17 AM																				
End Time: 	1:10 PM																				
Operator: 	OP																				
Product No.: 	2.5																				
Wafer ID: 	2159																				
Sub ID: 	y																				
Note: 																					
Total: 	13592																				
Pass: 	11184																				
Yield [%]: 	82																				
> Ifmin at 1V [A]: 	5.00E-3																				
< Vbdmax [V]: 	50.00																				
> Vbdmin [V]: 	38.50																				
< Vptmax [V]: 	33.00																				
> Vptmin [V]: 	14.00																				
< dVmax [V]: 	31.00																				
< dVmin [V]: 	19.00																				
< Id at V10 [A]: 	30.00E-9																				
> Mmax: 	45.00																				
> R [A/W]: 	0.80																				
			If at 1V [A]		Vbd [V]		Vpt [V]		dV [V]		Id at V10 [A]		Mmax		R [A/W]		V10 [V]	Vm [V]	I0 [A]	Im [A]	
		Mean	28.78E-3		43.96		20.67		23.29		533.38E-9		72.16		1.53		40.11	43.85	1.53E-6	88.12E-6	
		Standard deviation	5.92E-3		2.55		3.82		5.08		5.70E-6		24.62		5.18		3.90	2.55	5.18E-6	29.24E-6	
		Yield [%]	96		94		95		87		87		86		100						
1	DT	164	30.00E-3	Pass	42.75	Pass	22.02	Pass	20.73	Pass	-1.00E-9	Pass	83.41	Pass	1.20	Pass	38.65	42.70	1.20E-6	100.01E-6	Pass
2	DT	165	30.00E-3	Pass	42.79	Pass	21.99	Pass	20.80	Pass	-2.15E-9	Pass	82.86	Pass	1.21	Pass	38.67	42.71	1.21E-6	100.01E-6	Pass
3	DT	166	30.00E-3	Pass	42.92	Pass	21.85	Pass	21.07	Pass	-2.00E-9	Pass	83.07	Pass	1.20	Pass	38.81	42.80	1.20E-6	100.01E-6	Pass
4	DT	167	30.00E-3	Pass	42.92	Pass	21.84	Pass	21.09	Pass	-2.23E-9	Pass	82.05	Pass	1.22	Pass	38.85	42.79	1.22E-6	100.01E-6	Pass
5	DT	168	30.00E-3	Pass	42.94	Pass	21.77	Pass	21.17	Pass	-1.00E-9	Pass	82.32	Pass	1.22	Pass	38.91	42.90	1.22E-6	100.01E-6	Pass
6	DT	169	30.00E-3	Pass	42.93	Pass	21.78	Pass	21.15	Pass	-1.77E-9	Pass	81.84	Pass	1.22	Pass	38.95	42.82	1.22E-6	100.01E-6	Pass
7	DT	170	30.00E-3	Pass	43.02	Pass	21.74	Pass	21.28	Pass	-1.00E-9	Pass	81.84	Pass	1.22	Pass	39.00	42.91	1.22E-6	100.01E-6	Pass
8	DT	171	30.00E-3	Pass	43.09	Pass	21.70	Pass	21.39	Pass	-1.00E-9	Pass	83.69	Pass	1.20	Pass	38.94	42.92	1.19E-6	100.01E-6	Pass
9	DT	172	30.00E-3	Pass	43.13	Pass	21.64	Pass	21.49	Pass	-1.00E-9	Pass	81.98	Pass	1.22	Pass	39.09	43.10	1.22E-6	100.01E-6	Pass
10	DT	173	30.00E-3	Pass	43.14	Pass	21.59	Pass	21.55	Pass	-1.43E-9	Pass	83.55	Pass	1.20	Pass	39.01	43.10	1.20E-6	100.01E-6	Pass
11	DT	174	30.00E-3	Pass	43.14	Pass	21.58	Pass	21.56	Pass	-1.00E-9	Pass	83.48	Pass	1.20	Pass	39.11	43.10	1.20E-6	100.01E-6	Pass
12	DT	175	30.00E-3	Pass	43.24	Pass	21.54	Pass	21.69	Pass	-1.63E-9	Pass	83.55	Pass	1.20	Pass	39.17	43.11	1.20E-6	100.01E-6	Pass
13	DT	176	30.00E-3	Pass	43.32	Pass	21.52	Pass	21.81	Pass	-1.00E-9	Pass	83.62	Pass	1.20	Pass	39.22	43.21	1.20E-6	100.01E-6	Pass
